iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
33,premo,premo,pea,[0.12902215 5.29348637 2.38903292 6.22380252 1.         0.22339058],[0.18310947 4.54472788 6.05489778 3.32245406 1.         0.17263259]
33,rem,rem,rem,[1.16907154 2.84588272 1.6122179  1.95355462],[ 1.28953265 10.          6.650653    2.1243249 ]
34,piece,piece,piece,[ 6.31498615  0.69525109 -0.50706174],[ 4.09667991  0.96402291 -0.57930538]
34,pea,pea,pea,[ 3.20835526  0.29483515 -0.63789206],[10.          0.17173305 -0.57575446]
34,premo,premo,pea,[0.51089714 7.13980675 9.16134966 6.94325342 1.         0.09125417],[0.99994938 3.59901125 3.13245468 7.68148505 1.         0.07658888]
34,rem,rem,rem,[1.98788272 2.54501432 1.46067593 2.06808363],[2.06595968 6.89043182 4.84533521 2.15479106]
35,piece,piece,piece,[6.1631098  1.03778294 0.37426813],[6.21868284 1.27698253 0.39440696]
35,pea,pea,pea,[4.70281895 0.23475058 2.00337907],[4.07451301 0.28590116 2.03595329]
35,premo,premo,premo,"[ 7.80196260e-01  6.37810603e+00  9.00423193e+00  7.00687236e+00
  1.00000000e+00 -2.90189353e-03]",[0.9700585  4.12652091 3.72020645 6.36480249 1.         0.06359686]
35,rem,rem,pea,[5.60435706 0.93645341 0.47575794 1.5359642 ],[4.59892933 0.68173552 0.13772645 1.58463092]
36,piece,piece,piece,[4.55773706 1.04831223 0.79486871],[13.72640518  0.65941499  0.80251271]
36,pea,pea,pea,[4.0568483 0.3767505 1.164112 ],[3.84850689 0.36738007 1.09489081]
36,premo,premo,pea,[0.30072044 6.06566776 5.76041073 7.31948112 1.         0.57830398],[0.34276288 4.11354972 6.57300735 3.42144135 0.62176212 0.60876464]
36,rem,pea,pea,[9.492496   3.49881535 9.78543972 0.7001057 ],[9.99968585e+00 3.28462916e-01 4.07445767e-03 7.59150004e-01]
37,piece,piece,piece,[3.76748935 0.90269154 1.60735054],[3.55424997 1.12525814 1.61610382]
37,pea,pea,pea,[9.30708375 0.2506289  1.11988768],[5.62044663 0.26441214 1.15454257]
37,premo,premo,pea,[0.92636662 5.61408183 6.98477825 2.90043695 1.         0.99232139],[0.20449398 4.55122445 6.37562558 3.08825231 1.         0.98011003]
37,rem,piece,piece,[1.08170322 1.07046614 7.71573487 1.09868179],[1.94620581 1.00117059 7.19731839 1.18133538]
38,piece,piece,piece,[ 5.37906838  0.81307806 -0.61672608],[ 4.1160688   1.34016014 -0.540268  ]
38,pea,pea,pea,[ 3.2060587   0.48014878 -0.07882511],[ 2.61834563  0.49578816 -0.14437393]
38,premo,premo,pea,[0.25417558 7.71277362 1.80980884 2.41067288 1.         1.65576672],[0.99899676 3.53903326 2.92826462 8.2109394  1.         1.70063946]
38,rem,pea,pea,[ 2.05571453  1.83347905  5.63687938 -0.69024898],[ 1.57764473  1.98022568  6.96414523 -0.67010123]
39,piece,piece,piece,[5.42182681 1.0941608  0.99626936],[6.87680001 1.6737035  0.99900447]
39,pea,pea,pea,[ 2.50790775  0.44159141 -0.68556328],[ 1.220845    0.99058128 -0.63650366]
39,premo,premo,premo,[ 0.67501703  6.77351315  6.35644227  4.07007078  1.         -0.51010752],[ 0.92211226  3.19000499  4.5784304   6.45663697  1.         -0.52533855]
39,rem,pea,pea,[3.84524949 3.02451773 8.3928865  0.20936705],[4.11532115 1.7085184  5.55895704 0.22191788]
40,piece,piece,piece,[4.95563569 0.65533664 1.11918466],[4.74176371 0.51921783 1.20082441]
40,pea,pea,pea,[4.00863105 0.17986655 0.81719965],[10.          0.13244408  0.75336787]
40,premo,premo,premo,[0.56007701 3.07839778 2.20594189 1.25798328 1.         0.90913421],[0.2456898  4.27250711 6.907427   2.81712665 1.         0.87459783]
40,rem,pea,pea,[ 3.65493173  0.33939046  9.33255163 -0.35193033],[ 3.90592018  0.39187719  6.41585191 -0.38296843]
41,piece,piece,piece,[5.39592588 0.65815398 1.34514855],[4.55465488 0.46177518 1.34796157]
41,pea,pea,pea,[7.01303757 0.39395999 0.69587491],[10.          0.34646571  0.66353762]
41,premo,premo,premo,[ 0.68817101  1.36809683  3.4761976   2.5456705   1.         -0.57690042],[ 0.93792135  4.18989269  2.27810732  7.85626658  1.         -0.51798596]
