iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
29,pea,pea,pea,[18.16162093  0.40074329  0.41327107],[13.54610113  0.41829834  0.33889844]
29,premo,premo,premo,[ 0.64342903 17.47481975 20.46109126 21.36054268  1.          0.98619411],[ 0.61937041 12.59967069 12.50321967 12.43456057  0.92412589  0.86513248]
29,rem,pea,pea,[18.81878064  0.63367209  5.71756048  1.01150792],[25.          0.1055636   0.          1.05428708]
30,piece,piece,piece,[ 3.76820665  0.13340877 -0.2155713 ],[ 3.61341374  0.01       -0.23689311]
30,pea,pea,pea,[ 2.24265828  0.34955044 -0.63531412],[ 4.91455816  0.20011548 -0.57567216]
30,premo,premo,premo,[ 0.29222043 12.59234423 23.0149028  21.21782757  1.         -0.56230204],"[ 7.00036019e-01  1.24506668e+01  1.00000000e-02  2.50000000e+01
  7.45765467e-01 -6.00888001e-01]"
30,rem,pea,pea,[24.10519002  2.51322488  8.53204006  1.30802711],[8.68362472 2.50484892 7.49616377 1.35119611]
31,piece,piece,piece,[5.87430725 1.22935537 0.39929913],[5.88121716 1.95026082 0.39446058]
31,pea,pea,pea,[11.65035292  0.26492126  2.03938221],[12.73985031  0.26691935  2.05547126]
31,premo,pea,pea,[ 0.25227485  6.53593723 18.02984147  9.36956986  1.          0.11838557],[ 0.05444035 11.73561341 12.51153696 13.32445552  1.          0.18063477]
31,rem,pea,pea,[21.59079109  1.88791592  2.87391621  0.97316951],[25.          0.44223336  0.          0.97241828]
32,piece,piece,piece,[3.87294888 0.92149424 0.5524104 ],[3.66047289 0.17868364 0.56394951]
32,pea,pea,pea,[11.50962144  0.40292941 -0.23577636],[13.54963471  0.38249138 -0.21597095]
32,premo,pea,pea,[ 0.0811917  22.4404955  20.18305871 16.07347814  1.         -0.44355349],[ 0.03239588 10.21350422 12.53101709 14.80668294  1.         -0.37613259]
32,rem,pea,pea,[20.32327125  2.50317307  6.65045268  1.12811329],[25.          0.28063035  0.          1.26216524]
33,piece,piece,piece,[ 4.62862043  0.8121344  -0.29338158],[ 5.45035049  1.42186859 -0.33876305]
33,pea,pea,pea,[14.35149417  0.197307   -0.56986507],[13.37715448  0.19245908 -0.60226175]
33,premo,premo,premo,[ 0.73766379  0.13988982 17.77121773 21.09863826  1.          1.7564152 ],[ 0.65580177 14.33700047 12.53667345 10.51267631  1.          1.70587413]
33,rem,pea,pea,[ 2.10194382e+01  1.86795914e+00  8.26928991e+00 -1.37858399e-02],[25.          0.16411793  0.         -0.02982219]
34,piece,piece,piece,[5.7961254  0.83100732 1.37602052],[4.48037636 1.0153372  1.40724761]
34,pea,pea,pea,[13.61269558  0.1544034   0.11260801],[1.77531365 0.67370534 0.08584319]
34,premo,premo,premo,[ 0.42408424 21.26226587  0.32344088 13.23926531  1.          1.47448345],[ 0.90776859 13.85848104  8.93489026 15.30775135  0.94423175  1.22547624]
34,rem,pea,pea,[11.87221768  1.43273229  1.47422475  0.0176043 ],[12.48294762  3.14031386  4.51033203 -0.06755544]
35,piece,piece,piece,[6.11651801 1.20176118 1.1665168 ],[8.37477695 0.83032854 1.30126171]
35,pea,pea,pea,[10.06236157  0.42354684  0.5459583 ],[25.          0.36279286  0.54317883]
35,premo,premo,premo,[ 0.92708236 21.49924093  8.48080311 19.4030277   1.         -0.52154579],[ 0.97894309 20.8132726   6.72014611 11.43411708  1.         -0.4652687 ]
35,rem,pea,pea,[12.09618111  3.9686507   7.66880806 -0.09382627],[8.74420346 2.67913239 5.68880814 0.01404504]
36,piece,piece,piece,[4.79032168 0.40613728 0.5520622 ],[5.75498914 0.47473532 0.53622957]
36,pea,pea,pea,[14.76338791  0.18444449  1.95110244],[12.77232771  0.16899625  1.95614362]
36,premo,premo,pea,[ 0.50665387  4.38661856 19.05349234  9.08974031  1.          1.29817905],[ 0.99138592  8.39330261 10.71525239 21.5798766   0.94722276  1.31546734]
36,rem,rem,pea,[17.24710561  3.21981166  2.21020056  1.84255244],[14.8160142   4.63588742  3.60120922  1.92035666]
37,piece,piece,piece,[5.0283232  0.10604052 0.6034358 ],[6.98126252 0.06116005 0.58132637]
37,pea,pea,pea,[8.78046015 0.34932265 0.12364848],[13.51643915  0.28980439  0.16074677]
37,premo,premo,premo,[ 0.9428949  23.75645696  8.02368439  5.151887    1.         -0.72378659],[ 0.65405143 11.79262142 12.83543554 12.83543661  0.85047352 -0.72501967]
37,rem,pea,pea,[21.88246351  1.70706847  9.0399741  -0.04879408],[ 1.33955351e+01  1.69941517e+00  5.70262002e+00 -1.25548575e-02]
38,piece,piece,piece,[ 5.29859422  0.80874641 -0.24968952],[ 4.37214801  0.79019931 -0.21234108]
38,pea,pea,pea,[16.29520056  0.15273677  0.83788446],[13.49142977  0.14067719  0.82753709]
38,premo,premo,premo,[ 0.64605674 15.24749624  4.96498218 24.00042893  1.          0.2166843 ],"[6.26071111e-01 2.46036341e+01 1.25102324e+01 1.00000000e-02
 8.44353438e-01 3.86622375e-01]"
38,rem,rem,rem,[13.39987104  3.62344733  1.25727414  0.05757915],[12.59760083  2.68700625  0.71430431  0.04747139]
39,piece,piece,piece,[4.36969483 0.06782111 0.6124608 ],[3.54578612 0.01842918 0.49361779]
39,pea,pea,pea,[19.88990759  0.38473245  1.7618832 ],[25.          0.37074743  1.81103661]
39,premo,piece,piece,[ 0.12569549  2.52318195 15.00577805  4.59948392  1.          1.74847096],[ 0.04877647 10.40885304 12.55494757 14.65881004  0.          1.72723175]
39,rem,pea,pea,[6.54543339 2.15959812 6.31478219 1.82924337],[4.65958353 3.16461411 8.91916616 1.7543732 ]
40,piece,piece,piece,[6.2012488  0.6563835  0.84287585],[3.70810218 0.43894953 0.83766286]
40,pea,pea,pea,[ 7.11769185  0.16956856 -0.15783132],[13.38085276  0.13471214 -0.09542695]
40,premo,premo,premo,[ 0.22617168 10.5476316   5.06575317 15.63822875  1.          1.56588082],[ 0.25541493 14.47574196 13.51904478  9.06376387  1.          1.54675676]
40,rem,pea,pea,[12.85676239  1.48892804  9.70019637 -0.03455725],[2.50000000e+01 1.25663347e-01 0.00000000e+00 1.36295014e-02]
41,piece,piece,piece,[ 4.72415356  0.07573894 -0.2449945 ],[ 4.29258424  0.01       -0.19720077]
41,pea,pea,pea,[ 2.00437850e+01  4.29432212e-01 -1.78483244e-02],[13.61250945  0.45005272 -0.07703798]
